% Ny a b nu datacount wallunits? ustar
% 49 -1 1 0.0025000000000000001 1 0 0.062484546980415334
% <uu> <uv> <uw> <vv> <vw> <ww> <utot> <utot-Ubase> Ubase
2.2204460492503131e-16 -9.4490937896498765e-35 4.9289362101730336e-32 9.0517210172424915e-34 -8.1817872691944154e-35 6.252819296324956e-35 0.99999999999999989 -5.5594155624552948e-17 1
1.0934431392550792e-06 -1.7308401780338353e-10 1.2763304207464611e-18 5.5084254484418603e-13 -4.0496847814971596e-22 9.1333021539959401e-08 0.99665622167937706 -0.0012027015592261893 0.99785892323860326
1.744164389771985e-05 -1.1172019146104258e-08 5.0671204970646761e-18 1.3600548386911866e-10 -2.2528806820158698e-21 1.4103992929996347e-06 0.98663920997980836 -0.0048056513940020551 0.99144486137381038
8.7880048096455887e-05 -1.2894419787297483e-07 1.1307551032666008e-17 3.2854662673994628e-09 -3.4889444261721016e-21 6.7517276532117425e-06 0.96999196813479716 -0.010793312268433159 0.98078528040323032
0.0002760947484874432 -7.3658195687063038e-07 1.9719943451616818e-17 3.028123817090077e-08 1.1874177693198713e-22 1.9854003009079995e-05 0.94678666910123344 -0.019139157187834908 0.96592582628906831
0.00066962715839391507 -2.8620990076728326e-06 3.0559593484219551e-17 1.6340604849731233e-07 1.7418686621080403e-20 4.4597142127196317e-05 0.91712680406709635 -0.02980332542800922 0.94693012949510558
0.0013792598548059143 -8.7081983734183562e-06 4.2800236011580899e-17 6.2582091674719007e-07 3.8449670977179877e-20 8.4551463247758822e-05 0.88115305781590469 -0.042726474695382072 0.92387953251128674
0.0025387062996582443 -2.2348762987530717e-05 5.6770181004056626e-17 1.8874664087806423e-06 8.3328189675121886e-20 0.00014291996164609612 0.83905579248884155 -0.057816949043846717 0.89687274153268826
0.0043032514067752325 -5.053992065124995e-05 7.0868875004515007e-17 4.7734267504226387e-06 1.3608378391028387e-19 0.00022275734887484326 0.79109751441341447 -0.074927889371024237 0.86602540378443871
0.0068439733795497837 -0.00010350406684779784 8.5776654876190693e-17 1.0540972620999591e-05 1.3091158897611231e-19 0.00032745135762378592 0.73764837050796717 -0.093821241794577986 0.83146961230254512
0.010332016468508787 -0.0001954030163950577 1.0016943871593576e-16 2.0879228556878394e-05 8.5690617504573333e-20 0.00046147143676362643 0.67923575565226846 -0.11411758463896669 0.79335334029123517
0.014906718398329799 -0.0003440565131185068 1.1411515856612e-16 3.7774720307454905e-05 -1.5475291946336069e-19 0.00063085636737185641 0.61660454970407619 -0.13523525777490125 0.75183980747897738
0.020624856974388095 -0.00056938340516998092 1.2491770855563302e-16 6.3209283588881e-05 -3.264888495191701e-19 0.00084198100755760038 0.55077695293474926 -0.15632982825179831 0.70710678118654757
0.027398109583291835 -0.00089017063424240385 1.3146493442472984e-16 9.874674511185784e-05 -2.1225586867008699e-19 0.0010969981007233896 0.48309158553415388 -0.17625422956591494 0.65934581510006884
0.034940818961702563 -0.0013192121610720246 1.2976815802479004e-16 0.00014518144962413662 4.8069119756681544e-19 0.0013863944218800266 0.41519403355229523 -0.19356739545642546 0.60876142900872066
0.042762433869981228 -0.001857655197280335 1.167794159984137e-16 0.00020242758289873051 2.1078414892423264e-18 0.0016830732096929425 0.34895123158724239 -0.20661900143235967 0.55557023301960207
0.050234706253068057 -0.0024904015401481829 9.7326118518592527e-17 0.0002696309861398019 4.3848989855223811e-18 0.0019448487946003873 0.28627668470142009 -0.21372331529857982 0.49999999999999994
0.056732989886078486 -0.0031850209405774629 7.6738474515808399e-17 0.00034524394451760222 6.6212565486868658e-18 0.0021283666768567577 0.22888510073369855 -0.21340358948530253 0.44228869021900108
0.061804185891323832 -0.0038958780710021492 5.8014302996983733e-17 0.00042683164839035645 8.3003299600290662e-18 0.0022078151785060343 0.17803368735412634 -0.20464974501096345 0.38268343236508978
0.065285236634842272 -0.0045727754614334195 4.4941196489060868e-17 0.00051071453118878751 9.173493873706162e-18 0.0021859922565337932 0.13432915639243531 -0.18711030891072616 0.32143946530316148
0.0673162623010259 -0.0051707351690021735 3.8650452196392627e-17 0.00059182843340903953 8.5834083710014525e-18 0.0020910687510624845 0.097662066445874662 -0.16115697865664608 0.25881904510252074
0.068251575341526136 -0.0056567724866478002 3.36024746439359e-17 0.00066409787550607334 6.4388056518482898e-18 0.0019635387984353282 0.067277080763208458 -0.12781324125291971 0.19509032201612816
0.06852269925577073 -0.0060114417245927402 2.4070643481893807e-17 0.0007212841180555291 3.9604719514769319e-18 0.0018426847543816763 0.041932196426243809 -0.088593995793807764 0.13052619222005157
0.068513945220152195 -0.0062259662969044744 8.5391085478600532e-18 0.00075801482536959808 1.1852532030929426e-18 0.0017583646442033149 0.020077325396961061 -0.045325803833182 0.065403129230143062
0.068481391009217171 -0.0062976212318637901 -7.6993600839521401e-18 0.00077068108658723256 -1.7599915275845871e-18 0.0017283280372083103 6.1649403530868194e-17 6.1649403530868194e-17 0
0.068513945220152153 -0.0062259662969044727 -2.5790459177998937e-17 0.00075801482536959819 -4.7659155810210466e-18 0.0017583646442033141 -0.020077325396960895 0.045325803833182167 -0.065403129230143062
0.0685226992557708 -0.0060114417245927454 -3.9569313537574095e-17 0.00072128411805552932 -7.6425665248387384e-18 0.0018426847543816759 -0.04193219642624367 0.088593995793807903 -0.13052619222005157
0.068251575341526066 -0.0056567724866478002 -5.0931752305222183e-17 0.00066409787550607356 -1.0344199285930012e-17 0.0019635387984353286 -0.067277080763208291 0.12781324125291987 -0.19509032201612816
0.067316262301025789 -0.00517073516900217 -5.4943300343418549e-17 0.00059182843340903975 -1.2388449776657221e-17 0.0020910687510624889 -0.097662066445874662 0.16115697865664608 -0.25881904510252074
0.065285236634842175 -0.0045727754614334178 -5.7345824595010642e-17 0.00051071453118878751 -1.3374142017377051e-17 0.0021859922565337967 -0.13432915639243542 0.18711030891072605 -0.32143946530316148
0.061804185891323915 -0.0038958780710021527 -6.2927094091058675e-17 0.00042683164839035645 -1.3095214067846209e-17 0.0022078151785060347 -0.17803368735412661 0.20464974501096317 -0.38268343236508978
